"ID","Name","Category","Date In","Time In","Date Out","Time Out","Length","","","","ID","Name","Category","Meetings Attended","Total Time",
"23","example name","Student (Dawson)","Sunday, August 18, 2019","22:27:51","Sunday, August 18, 2019","22:28:08","00:00:17","","","","0","faswe waws3e awameiho","Student (Dawson)","11","00:00:43",
"0","faswe waws3e awameiho","Student (Dawson)","Sunday, August 18, 2019","22:27:52","Sunday, August 18, 2019","22:28:02","00:00:10","","","","27200","szosphia jistangstupid","Student (Pearland)","3","00:00:22",
"6","example name","Student (Dawson)","Sunday, August 18, 2019","22:27:54","Sunday, August 18, 2019","22:28:05","00:00:11","","","","23","example name","Student (Dawson)","1","00:00:17",
"4","example name","Student (Dawson)","Sunday, August 18, 2019","22:27:54","Sunday, August 18, 2019","22:28:07","00:00:13","","","","5","example name","Student (Dawson)","2","00:00:14",
"5","example name","Student (Dawson)","Sunday, August 18, 2019","22:27:54","Sunday, August 18, 2019","22:28:07","00:00:13","","","","4","example name","Student (Dawson)","1","00:00:13",
"7","example name","Student (Dawson)","Sunday, August 18, 2019","22:27:55","Sunday, August 18, 2019","22:28:05","00:00:10","","","","9","example name","Student (Dawson)","1","00:00:11",
"8","example name","Student (Dawson)","Sunday, August 18, 2019","22:27:55","Sunday, August 18, 2019","22:28:06","00:00:11","","","","8","example name","Student (Dawson)","1","00:00:11",
"9","example name","Student (Dawson)","Sunday, August 18, 2019","22:27:55","Sunday, August 18, 2019","22:28:06","00:00:11","","","","6","example name","Student (Dawson)","1","00:00:11",
"10","example name","Student (Dawson)","Sunday, August 18, 2019","22:27:56","Sunday, August 18, 2019","22:28:06","00:00:10","","","","21","example name","Student (Dawson)","2","00:00:10",
"0","faswe waws3e awameiho","Student (Dawson)","Sunday, August 18, 2019","22:27:57","Sunday, August 18, 2019","22:27:57","00:00:00","","","","15","example name","Student (Dawson)","1","00:00:10",
"0","faswe waws3e awameiho","Student (Dawson)","Sunday, August 18, 2019","22:27:57","Sunday, August 18, 2019","22:27:58","00:00:01","","","","10","example name","Student (Dawson)","1","00:00:10",
"0","faswe waws3e awameiho","Student (Dawson)","Sunday, August 18, 2019","22:27:58","Sunday, August 18, 2019","22:27:58","00:00:00","","","","7","example name","Student (Dawson)","1","00:00:10",
"0","faswe waws3e awameiho","Student (Dawson)","Sunday, August 18, 2019","22:27:58","Sunday, August 18, 2019","22:28:00","00:00:02","","","","17","example name","Student (Dawson)","1","00:00:09",
"0","faswe waws3e awameiho","Student (Dawson)","Sunday, August 18, 2019","22:28:00","Sunday, August 18, 2019","22:28:04","00:00:04","","","","16","example name","Student (Dawson)","1","00:00:09",
"0","faswe waws3e awameiho","Student (Dawson)","Sunday, August 18, 2019","22:28:09","Sunday, August 18, 2019","22:28:23","00:00:14","","","","23200","awt4ef asef","Student (Pearland)","1","00:00:03",
"15","example name","Student (Dawson)","Sunday, August 18, 2019","22:28:14","Sunday, August 18, 2019","22:28:24","00:00:10","","","","12","example name","Student (Dawson)","1","00:00:03",
"16","example name","Student (Dawson)","Sunday, August 18, 2019","22:28:15","Sunday, August 18, 2019","22:28:24","00:00:09","","","","22","example name","Student (Dawson)","1","00:00:01",
"17","example name","Student (Dawson)","Sunday, August 18, 2019","22:28:16","Sunday, August 18, 2019","22:28:25","00:00:09","","","","","","","","",
"22","example name","Student (Dawson)","Sunday, August 18, 2019","22:28:17","Sunday, August 18, 2019","22:28:18","00:00:01","","","","","","","","",
"21","example name","Student (Dawson)","Sunday, August 18, 2019","22:28:17","Sunday, August 18, 2019","22:28:26","00:00:09","","","","","","","","",
"5","example name","Student (Dawson)","Sunday, August 18, 2019","22:28:21","Sunday, August 18, 2019","22:28:22","00:00:01","","","","","","","","",
"12","example name","Student (Dawson)","Sunday, August 18, 2019","22:28:25","Sunday, August 18, 2019","22:28:28","00:00:03","","","","","","","","",
"21","example name","Student (Dawson)","Sunday, August 18, 2019","22:28:27","Sunday, August 18, 2019","22:28:28","00:00:01","","","","","","","","",
"0","faswe waws3e awameiho","Student (Dawson)","Monday, August 19, 2019","02:52:46","Monday, August 19, 2019","02:52:46","00:00:00","","","","","","","","",
"0","faswe waws3e awameiho","Student (Dawson)","Monday, August 19, 2019","02:52:49","Monday, August 19, 2019","02:52:51","00:00:02","","","","","","","","",
"0","faswe waws3e awameiho","Student (Dawson)","Monday, August 19, 2019","22:27:49","Monday, August 19, 2019","22:27:57","00:00:08","","","","","","","","",
"23200","awt4ef asef","Student (Pearland)","Thursday, August 22, 2019","05:50:51","Thursday, August 22, 2019","05:50:54","00:00:03","","","","","","","","",
"27200","szosphia jistangstupid","Student (Pearland)","Friday, August 23, 2019","17:27:24","Friday, August 23, 2019","17:27:33","00:00:09","","","","","","","","",
"27200","szosphia jistangstupid","Student (Pearland)","Friday, August 23, 2019","17:27:35","Friday, August 23, 2019","17:27:46","00:00:11","","","","","","","","",
"27200","szosphia jistangstupid","Student (Pearland)","Friday, August 23, 2019","17:28:13","Friday, August 23, 2019","17:28:15","00:00:02","","","","","","","","",
"0","faswe waws3e awameiho","Student (Dawson)","Friday, August 23, 2019","17:28:13","Friday, August 23, 2019","17:28:15","00:00:02","","","","","","","","",
